"Probennr.";"Ausreißkraft"
"2929";2602,98168945313
"2930";2426,89233398438
"2931";2683,59594726563
"2932";2718,18530273438
"2933";2630,02001953125
"2934";2685,89794921875
"2935";2384,8740234375
"2936";2785,16381835938
"2937";2730,03540039063
"2938";2777,96923828125
"2939";2558,96459960938
"2940";2263,55419921875
"2941";2301,888671875
"2942";2650,2392578125
"2943";2214,44750976563
"2944";2502,46728515625
"2945";2615,43017578125
"2946";2491,27319335938
"2947";2508,52099609375
"2948";2273,80224609375
"2949";2641,56494140625
"2950";2655,9013671875
"2951";2641,23974609375
"2952";2602,0673828125
"2953";2315,57568359375
"2954";2614,953125
"2955";2784,39916992188
"2956";2720,91357421875
"2957";2759,01953125
"2958";2647,5166015625
"2959";2581,04931640625
"2960";2622,9326171875
"2961";2760,17797851563
"2962";2858,22265625
"2963";2682,5673828125
"2964";2627,86474609375
"2965";2621,033203125
"2966";2637,41284179688
"2967";2607,08178710938
"2968";2844,2529296875
"2969";2453,78247070313
"2970";2622,75341796875
"2971";2623,45532226563
"2972";2661,98974609375
"2973";2805,28515625
"2974";2667,58520507813
"2975";2469,9453125
"2976";2485,16577148438
"2977";2805,79052734375
"2978";2317,21508789063
"2979";2617,244140625
"2980";2603,56201171875
"2981";2672,74584960938
"2982";2617,0390625
"2983";2494,32202148438
"2984";2670,83959960938
"2985";2794,99291992188
"2986";2722,7265625
"2987";2506,806640625
"2988";2768,966796875
"2989";2687,95068359375
"2990";2615,98217773438
"2991";2679,0390625
"2992";2599,17724609375
"2993";2621,20263671875
"2994";2671,11376953125
"2995";2587,71435546875
"2996";2809,43090820313
"2997";2656,86987304688
"2998";2649,29907226563
"2999";2525,26708984375
"3000";2531,2294921875
"3001";2556,08032226563
"3002";2684,099609375
"3003";2553,19506835938
"3004";2663,9794921875
"3005";2702,67822265625
"3006";2553,54272460938
"3007";2597,03076171875
"3008";2697,15258789063
"3009";2574,7900390625
"3010";2663,70336914063
"3011";2528,36840820313
"3012";2597,02807617188
"3013";2717,73999023438
"3014";2632,55102539063
"3015";2565,61181640625
"3016";2478,47875976563
"3017";2587,90698242188
"3018";2648,10131835938
"3019";2517,18505859375
"3020";2498,94067382813
"3021";2616,70703125
"3022";2577,65991210938
"3023";2527,99560546875
"3024";2616,23852539063
"3025";2586,42041015625
"3026";2579,53491210938
"3027";2624,96508789063
"3028";2615,45166015625
