"Schweißkurvennummer";"Zugfestigkeit"
1569;2600
1570;2750
1571;2770
1572;2660
1573;2810
1574;2850
1575;2900
1576;2750
1577;2750
1578;2770
1579;2590
1580;2760
1581;2700
1582;2670
1583;2620
1584;2660
1585;2760
1586;2710
1587;2820
1588;2830
1589;2750
1590;2840
1591;2880
1592;2790
1593;2850
1594;2980
1595;2940
1596;2940
1597;2940
1598;2850
1599;2740
1600;2960
1601;2920
1602;2730
1603;2560
1604;2940
1605;2890
1606;2860
1607;3010
1608;2870
1609;2750
1610;2900
1611;2630
1612;3070
1613;2840
1614;2990
1615;2880
1616;2870
1617;2820
1618;2930
1619;2820
1620;2930
1621;2920
1622;2690
1623;2860
1624;2840
1625;3040
1626;2870
1627;3040
1628;2800
1629;2600
1630;2780
1631;2900
1632;2770
1633;2890
1634;2970
1635;2730
1636;2960
1637;2850
1638;2990
1639;2810
1640;2730
1641;2800
1642;2810
1643;2760
1644;2850
1645;2750
1646;2720
1647;2820
1648;2860
1649;2830
1650;2790
1651;2850
1652;2750
1653;2880
1654;2710
1655;2850
1656;2720
1657;2650
1658;2790
1659;2860
1660;2910
1661;2830
1662;2830
1663;2810
1664;2830
1665;2840
1666;2920
1667;2990
1668;2840
1669;2690
1670;2990
1671;2770
1672;2950
1673;2870
1674;2760
1675;2910
1676;2950
1677;2980
1678;3050
1679;2790
1680;2700
1681;2730
1682;2820
1683;2690
1684;2850
1685;2820
1686;2870
1687;2780
1688;2890
1689;2570
1690;2720
1691;2770
1692;2820
1693;2700
1694;2810
1695;2700
1696;2770
1697;2780
1698;2730
1699;2630
1700;2850
1701;2860
1702;2900
1703;2690
1704;2830
1705;2910
1706;2920
1707;2900
1708;2950
1709;2840
1710;2960
1711;2900
1712;2700
1713;2900
1714;2750
1715;2880
1716;2800
1717;2850
1718;2640
1719;2790
1720;2870
1721;2750
1722;2880
1723;2820
1724;2960
1725;2850
1726;2920
1727;2610
1728;2990
1729;2710
1730;2900
1731;2830
1732;2880
1733;2680
1734;2930
1735;2870
1736;2850
1737;2850
1738;2940
1739;2880
1740;2990
1741;2950
1742;2950
1743;2960
1744;2960
1745;2850
1746;2950
1747;2900
1748;2950
1749;2610
1750;2860
1751;2820
1752;2870
1753;2800
1754;2890
1755;3170
1756;3080
1757;2840
1758;2880
1759;3000
1760;2910
1761;2950
1762;2940
1763;2950
1764;2900
1765;2860
1766;2890
1767;3000
1768;3040
